"Source:","http://www.lib.berkeley.edu/MRC/SSEAsiaVid.html"
"

"
"Contents:","â€¢149;Ѭ href=""#India"">South Asia: Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri LankaЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/sseasianamvid.html#south"">South Asian DiasporaЖ (separate page)
","â€¢149;Ѭ href=""#nepaltibet"">Tibet and NepalЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SSEAsiaVid2.html"">Vietnam, Laos, Cambodia, Thailand, BurmaЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SSEAsiaVid2.html"">Indonesia / East TimorЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SSEAsiaVid2.html"">Australia/MelanesiaЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SSEAsiaVid2.html"">MalaysiaЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SSEAsiaVid2.html"">PhilippinesЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SSEAsiaVid2.html#pacific"">Pacific IslandsЖ"
"See also the following MRC Videographies:","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/AsianAmvid.html"">Asian American StudiesЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/indianfilm.html"">South and East Asian cinemaЖ - films by South/Southeast Asian filmmakers","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/imagesasians.html"">The Movies, Race, and Ethnicity - a listing of movies with South/Southeast Asian diaspora themesЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/ReligionVid.html"">Religions and Myths of the WorldЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/EthnographyVid.html"">Ethnography and Folk CultureЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/PACSVid.html#viet"">Peace and Conflict StudiesЖ - documentaries and movies on the Vietnamese War"
"Voices of the Sidis: Two Documentaries","""We're Indian and African"": voices of the Sidis (22 min.) -- Voices of the Sidis: ancestral links (26 min.). ""We're Indian and African"" : voices of the Sidis: Explores the life of a Sidi village community in Gujarat, India and captures the performance of the sacred Goma-Dhammal dance performed to honor Sidi saints. Voices of the Sidis : ancestral links: Examines the life of an urban city family in Bombay, India. The parents point with pride to their ancestry, but their daughter voices concerns about belonging and identity as a Sidi and Indian. Films by Beheroze Shroff. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9451"">DVD 9451Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"The Wages of Action: Religion in a Hindu Village","Set in Soyepur, a village near Benares, India, this film discusses Hinduism and how it touches every aspect of a villager's life from birth to death. 1979. 47 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4257"">Video/C 4257Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"War and Peace (Jang aur Aman)","Filmed over three years in India, Pakistan, and Japan, this documentary examines the militarization of India and analyzes the human cost that is extracted from its citizens in the name of national security. It examines peace activism in India in the face of global militarism and war, the political turmoil between Pakistan and India, the 1998 nuclear tests on the Indian subcontinent and the plight of residents living near the nuclear test site, the horrendous effects of uranium mining on local indigenous populations and interviews with Japanese survivors of Hiroshima. 2002. 170 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+8957"">Video/C 8957Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Related web sites:","â€¢149;Ѭ href=""http://www.icarusfilms.com/new2002/wandp.html"">Description from Icarus Films catalogЖ","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Water to the People: Towards Participation in Rural Drinking Water Schemes","Examines various types of water projects designed to bring potable water to rural areas of India. PAL format. 1999. 34 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7925"">Video/C 7925Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Wedding of the Goddess.","A two part documentary on the Chitterai Festival in Madurai, India. Part 1 (36 min.) provides historical background on the annual festival, and shows the reenactment of the marriage of the Lord Sundareshvar and the Goddess Minakshi. Part 2 (40 min.) provides, through interviews with participants, an intimate picture of the proceedings of the 12-day festival. Filmed in 1972 and 1973. Originally distributed 1976. 76 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3767"">Video/C 3767Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X4423"">DVD X4423Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"What Do You Call an Indian Woman Who's Funny?","Made for Britain's Channel 4 TV series, ""First Sex."" Looks at four Indian women cabaret performers and explores the question of who sets the agenda for comedy. Is comedy culturally specific or can anyone enjoy a joke regardless or race and ethnicity? 1994. 18 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3758"">Video/C 3758Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Related web sites:","â€¢149; Ѭ href=""http://asianamericanmedia.org/rf_cms/index.php?cmd=showPage&page_id=1.4.1.2.178&section=1.4"">Center for Asian American Media catalog descriptionЖ","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Wheel of Time.","Wheel of Time is acclaimed filmmaker Werner Herzog's gorgeously photographed look at the largest Buddhist ritual in Bodh Gaya, India. It is said that Buddha found enlightenment under a tree in Bodh Gaya and today, Buddhist monks are ordained in this holy place. Herzog magically captures the lengthy pilgrimage (which for some, is over 3,000 miles), the monk's creation of the beautiful and intricate sand mandala (the wheel of time) along with many secret rituals that have never been seen before on film. He delivers a personal and introspective look at what Buddhism really means to the most ardent followers, as well as giving outsiders an intimate look into a fascinating way of life. 2003. 80 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4593"">DVD 4593Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"When the Storm Came.","Profiles a village in Kashmir that was the site of a mass rape by Indian Security Forces in 1991. Depicts the impact that the mass rape continues to have on a community even over a decade later, reminding viewers that rape as a weapon of war is a global phenomenon that has continued throughout time. A documentary by Shilpi Gupta. 2003. 24 min.  ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4822"">DVD 4822Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM1292"">Video/C MM1292Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"When Women Unite: The Story of an Uprising.","The story of an extraordinary social movement in rural India, a spontaneous grass-roots uprising by village women against the sale of arrack (state-supplied distilled liquor), which pitted them against village men, arrack contractors and the state bureaucracy, and which led after four hard-fought years (1992-1995) to the ban of arrack sales in Andhra Pradesh. c1996. 80 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+8546"">Video/C 8546Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Whose Children?","A documentary that raises basic questions about child labour in India's glass factories in Firozabad, Uttar Pradesh exploring social, economic, legal and moral aspects of the issue. 2003. 30 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4267"">DVD 4267Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Whose Water?","Documentary television program on water policy in India and how people's initiatives are changing the water management in this country. 2002. 26 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM859"">Video/C MM859Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Women by the Sea: Experiences of the Tsunami in Sri Lanka","Documentary on the women survivors of the Indian Ocean Tsunami in 2004, narrated through the voices of a select group of women from Batticaloa, Hikkaduwa, and Kalutara. 2006. 28 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8921"">DVD 8921Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Women Theater Activists of India.","Traces the evolution, social and professional position and contributions of women theater activists in India through interviews with Indian directors, writers, dancers and actresses interspersed with theatrical performances. 1999. 66 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7207"">Video/C 7207Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"The Women's Bank of Bangladesh","Describes the Grameen Bank of Bangladesh and the small-business loans it makes to women only. It describes the philosophy, development and function of the bank and follows the activities of women who have taken out loans to fund their cottage industries. The film also examines the attitudes of those who oppose the bank as being contrary to Islamic law and the defense of bank policy by its founder, economics professor Muhammad Yunus. 1997. 47 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5498"">Video/C 5498Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Words on Water","Documentary looking at the effects of the Sardar Sarovar Dam (the largest one in the Narmada Project involving the construction of 30 large, 135 medium-sized and 3000 small dams in Gujarat and other parts of Central India) and the millions of people who will be adversely affected by this project sponsored by the World Bank and the Central Government of India. 2002. 85 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9874"">Video/C 9874Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Worlds Apart.","East Indians are the largest single population in Guyana and Trinidad. The influence of their strong cultural identity is examined. 1992. 45 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3195"">Video/C 3195Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Y.C.P., 1997 (Yerwada Central Prison, 1997)","Examines the lives and work of six prisoners from Yerwada Central Prison in Pune, India. Through their poems and writings the film explores the ways in which they cope with the pain and stigma of incarceration. 1997. 44 min. PAL format. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7924"">Video/C 7924Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"The Young Workers.","Looks at the emergence of child labor in India within a historical, societal context. Covers the history of child labor, legislation, alternatives and attempted intervention and concludes with case studies of the match industry in Sivakasi and powerloom industry in Bhivandi. 1987. 68 min. PAL format ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+473"">Video/C 473Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Zeenat.","In Urdu. Story of the rural Sindhi society at the turn of the 19th century, based on a novel by Mirza Qalic Beg. Performer: Rabia Naureen, Mahmood Siddiqui, Ishrat Hashmi, Khalid Zaman, Zaheen Tahira, Gulab Chandio, Shafi Mohammad, Mahamood Ali. 1980. 282 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3910"">Video/C 3910Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Ѭ href=""#top"">To the topЖ","","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Alexandra David-Neel: One Woman's Journey from Sikkim to Forbidden Tibet","Portrait of the French philosopher, novelist, and adventurer who, in her long life, travelled extensively in Asia, especially the Himalayas and was the first woman to be granted the title of Lama in Tibet. Includes her two years as a hermit in the Himalayas and her secret pilgrimage to the holy city of Llasa, forbidden to foreigners. Using spectacular archival footage this program traces her path through commentary by Marie-Madeleine Peronnet, her late-life companion, and others who relate their memories of this extraordinary life. 1992. 51 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7045"">Video/C 7045Ж","Nepal and TibetЖ"
"Compassion in Exile: The Story of the 14th Dalai Lama.","A portrait of Tenzin Gyatso, the 14th Dalai Lama of Tibet. 1992. 60 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3329"">Video/C 3329Ж","Nepal and TibetЖ"
"Dalai Lama: A Portrait in the First Person","An interview with the current Dalai Lama, Bstan-dzin-rgya-mtsho, winner of the 1989 Noble Peace Prize, who discusses his religious and social beliefs, including such topics as nonviolence and Tibet. 1994. 24 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4589"">Video/C 4589Ж","Nepal and TibetЖ"
"The Dalai Lama and the Rituals of Reincarnation.","An investigation of the intricate procedure of identifying a reincarnated Dalai Lama against the backdrop of Tibetan power politics and Chinese expansion. Presents the history of the Dala Lama forward from the birth of Sonam Gyatso, Tibet's 3rd Dalai Lama in the 16th century, through his successors to the life in exile of Tibet's current 14th spiritual leader. c2000. 46 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7833"">Video/C 7833Ж","Nepal and TibetЖ"
"Dalai Lama's & Tulku's.","A presentation of the history of Tibet and Buddhism as it developed in that country. 1991. 48 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2469"">Video/C 2469Ж","Nepal and TibetЖ"
"Diamond Path.","A history and geography of Nepal is followed by a discussion of Buddhism and Hinduism in the context of the history of Nepal and surrounding countries. 1991. 36 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2468"">Video/C 2468Ж","Nepal and TibetЖ"
"The Doctor's Story. (Life; 40)","Nepal has one of the highest maternal mortality rates in the world. This episode explores the plight of Nepal's local health services, and links the situation to the prohibition by the U.S. government against funding any non-governmental organization that supports abortion. c2003. 23 min.  (for other installments of series, see Ѭ href=""http://www.lib.berkeley.edu/MRC/global.html#life"">Global Issues and EventsЖ)","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9849"">Video/C 9849Ж","Nepal and TibetЖ"
"Empowering Women in Nepal: Credit Where It's Due","Women in Nepal bear the brunt of farming and household chores and have very limited access to their own real property, savings, and credit. But now, in villages throughout the country, women are beginning to improve their lot with the help of microcredit projects that encourage cash savings and provide livelihood skills training and credit. This video presents three rural Nepali women who have taken control of their lives through microenterprise projects, reaping not only economic and financial benefits, but a new sense of unity and power. 2001. 10 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM429"">Video/C MM429Ж","Nepal and TibetЖ"
"Empowerment Through Unity: Pani Milan, Strategies to Create a Network of Grassroots Women in the Himalayas.","Documentary of the regional workshop on the social conditions of the women that the group HIMAWANTI succeeded in bringing together with over 200 women throughout the Hindu-Kush-Himalayas attending. 2002. 39 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM867"">Video/C MM867Ж","Nepal and TibetЖ"
"Highway to Hell: Trafficking of Girls from Nepal to India","Examines the plight of Nepalese girls tricked into leaving home, often with the promise of marriage or legitimate employment, then sold to brothels in India. 2000. 38 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9738"">Video/C 9738Ж","Nepal and TibetЖ"
"His Holiness the XIV Dalai Lama: Human Rights and Moral Practice.","Documents a talk by His Holiness the Dalai Lama at the University of California at Berkeley on the subject of human rights and moral practice. This talk marks one of the rare occasions on which the Dalai Lama has spoken so forthcomingly on concrete political themes such as birth control, the arms trade, global economy and the recent Gulf crisis. He stresses that a peaceful, loving society will grow out of spiritual searching and human compassion. 1996. 35 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5018"">Video/C 5018Ж","Nepal and TibetЖ"
"Images of the Gender role in Two ILO Projects in Asia and Africa.","Equality, empowerment and appropriate project design are debated by men and women participating in two Internatinal Labour Office projects. In Nepal, women and men work together in a rural skills training project. In Uganda, women work separately from men as they learn to bargain for their trade union rights in a worker's education project. 1991. 26 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM1101"">Video/C MM1101Ж","Nepal and TibetЖ"
